,ISBN,user_id,rating,title,author,publisher,image,year,average_rating,count_ratings
99,0316690619,15,91,Cradle and All,James Patterson,Little Brown and Company,http://images.amazon.com/images/P/0316690619.01.THUMBZZZ.jpg,2000,6.066666666666666,225
100,0316693006,19,160,Four Blind Mice,James Patterson,"Little, Brown",http://images.amazon.com/images/P/0316693006.01.THUMBZZZ.jpg,2002,8.421052631578947,361
101,0316693200,32,237,2nd Chance,James Patterson,"Little, Brown",http://images.amazon.com/images/P/0316693200.01.THUMBZZZ.jpg,2002,7.40625,1024
102,0316693235,22,161,Violets Are Blue,James Patterson,"Little, Brown",http://images.amazon.com/images/P/0316693235.01.THUMBZZZ.jpg,2001,7.318181818181818,484
103,0316693324,12,94,When the Wind Blows,James Patterson,Replica Books,http://images.amazon.com/images/P/0316693324.01.THUMBZZZ.jpg,1998,7.833333333333333,144
106,0316769487,86,654,The Catcher in the Rye,J.D. Salinger,"Little, Brown",http://images.amazon.com/images/P/0316769487.01.THUMBZZZ.jpg,1991,7.604651162790698,7396
108,0316776963,57,459,Me Talk Pretty One Day,David Sedaris,Back Bay Books,http://images.amazon.com/images/P/0316776963.01.THUMBZZZ.jpg,2001,8.052631578947368,3249
109,0316777722,23,183,Me Talk Pretty One Day,David Sedaris,"Little, Brown",http://images.amazon.com/images/P/0316777722.01.THUMBZZZ.jpg,2000,7.956521739130435,529
110,0316781142,16,119,The Last Time They Met : A Novel,Anita Shreve,"Little, Brown",http://images.amazon.com/images/P/0316781142.01.THUMBZZZ.jpg,2001,7.4375,256
111,0316781266,25,156,The Last Time They Met : A Novel,Anita Shreve,Back Bay Books,http://images.amazon.com/images/P/0316781266.01.THUMBZZZ.jpg,2002,6.24,625
112,0316969443,25,192,Suzanne's Diary for Nicholas,James Patterson,"Little, Brown",http://images.amazon.com/images/P/0316969443.01.THUMBZZZ.jpg,2001,7.68,625
113,0316969680,16,114,The Beach House,James Patterson,"Little, Brown",http://images.amazon.com/images/P/0316969680.01.THUMBZZZ.jpg,2002,7.125,256
115,0330332775,17,129,Bridget Jones's Diary,Helen Fielding,Picador (UK),http://images.amazon.com/images/P/0330332775.01.THUMBZZZ.jpg,1997,7.588235294117647,289
116,0330375253,8,71,Bridget Jones's Diary,Helen Fielding,Picador,http://images.amazon.com/images/P/0330375253.01.THUMBZZZ.jpg,2001,8.875,64
121,0345313860,75,617,"The Vampire Lestat (Vampire Chronicles, Book II)",ANNE RICE,Ballantine Books,http://images.amazon.com/images/P/0345313860.01.THUMBZZZ.jpg,1986,8.226666666666667,5625
123,0345337662,108,830,Interview with the Vampire,Anne Rice,Ballantine Books,http://images.amazon.com/images/P/0345337662.01.THUMBZZZ.jpg,1993,7.685185185185185,11664
124,0345339681,62,543,The Hobbit : The Enchanting Prelude to The Lord of the Rings,J.R.R. TOLKIEN,Del Rey,http://images.amazon.com/images/P/0345339681.01.THUMBZZZ.jpg,1986,8.758064516129032,3844
125,0345339703,45,405,"The Fellowship of the Ring (The Lord of the Rings, Part 1)",J.R.R. TOLKIEN,Del Rey,http://images.amazon.com/images/P/0345339703.01.THUMBZZZ.jpg,1986,9.0,2025
126,0345339711,38,349,"The Two Towers (The Lord of the Rings, Part 2)",J.R.R. TOLKIEN,Del Rey,http://images.amazon.com/images/P/0345339711.01.THUMBZZZ.jpg,1986,9.18421052631579,1444
127,0345339738,37,348,"The Return of the King (The Lord of the Rings, Part 3)",J.R.R. TOLKIEN,Del Rey,http://images.amazon.com/images/P/0345339738.01.THUMBZZZ.jpg,1986,9.405405405405405,1369
128,0345342968,65,571,Fahrenheit 451,RAY BRADBURY,Del Rey,http://images.amazon.com/images/P/0345342968.01.THUMBZZZ.jpg,1987,8.784615384615385,4225
129,0345350499,38,335,The Mists of Avalon,MARION ZIMMER BRADLEY,Del Rey,http://images.amazon.com/images/P/0345350499.01.THUMBZZZ.jpg,1987,8.81578947368421,1444
130,0345351525,46,350,The Queen of the Damned (Vampire Chronicles (Paperback)),Anne Rice,Ballantine Books,http://images.amazon.com/images/P/0345351525.01.THUMBZZZ.jpg,1993,7.608695652173913,2116
131,0345353145,41,315,Sphere,MICHAEL CRICHTON,Ballantine Books,http://images.amazon.com/images/P/0345353145.01.THUMBZZZ.jpg,1988,7.682926829268292,1681
132,0345360001,10,75,The Mummy or Ramses the Damned,Anne Rice,Ballantine Books,http://images.amazon.com/images/P/0345360001.01.THUMBZZZ.jpg,1989,7.5,100
133,0345361792,57,489,A Prayer for Owen Meany,John Irving,Ballantine Books,http://images.amazon.com/images/P/0345361792.01.THUMBZZZ.jpg,1990,8.578947368421053,3249
134,0345369947,30,246,The Mummy or Ramses the Damned,Anne Rice,Ballantine Books,http://images.amazon.com/images/P/0345369947.01.THUMBZZZ.jpg,1991,8.2,900
135,0345370775,92,705,Jurassic Park,Michael Crichton,Ballantine Books,http://images.amazon.com/images/P/0345370775.01.THUMBZZZ.jpg,1999,7.663043478260869,8464
136,0345380371,43,314,Rising Sun,MICHAEL CRICHTON,Ballantine Books,http://images.amazon.com/images/P/0345380371.01.THUMBZZZ.jpg,1992,7.3023255813953485,1849
137,0345384466,38,317,The Witching Hour (Lives of the Mayfair Witches),ANNE RICE,Ballantine Books,http://images.amazon.com/images/P/0345384466.01.THUMBZZZ.jpg,1993,8.342105263157896,1444
138,034538475X,53,371,The Tale of the Body Thief (Vampire Chronicles (Paperback)),Anne Rice,Ballantine Books,http://images.amazon.com/images/P/034538475X.01.THUMBZZZ.jpg,1993,7.0,2809
139,0345387651,32,230,The Cider House Rules,John Irving,Ballantine Books,http://images.amazon.com/images/P/0345387651.01.THUMBZZZ.jpg,1994,7.1875,1024
140,0345391802,28,232,The Hitchhiker's Guide to the Galaxy,Douglas Adams,Ballantine Books,http://images.amazon.com/images/P/0345391802.01.THUMBZZZ.jpg,1995,8.285714285714286,784
142,0345413350,25,210,"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,Del Rey,http://images.amazon.com/images/P/0345413350.01.THUMBZZZ.jpg,1997,8.4,625
143,0345413369,15,129,"The Subtle Knife (His Dark Materials, Book 2)",PHILIP PULLMAN,Del Rey,http://images.amazon.com/images/P/0345413369.01.THUMBZZZ.jpg,1998,8.6,225
144,0345417623,47,371,Timeline,MICHAEL CRICHTON,Ballantine Books,http://images.amazon.com/images/P/0345417623.01.THUMBZZZ.jpg,2000,7.8936170212765955,2209
148,0345441036,16,126,Black House,Stephen King,Ballantine Books,http://images.amazon.com/images/P/0345441036.01.THUMBZZZ.jpg,2002,7.875,256
150,0345443284,39,280,While I Was Gone,Sue Miller,Ballantine Books,http://images.amazon.com/images/P/0345443284.01.THUMBZZZ.jpg,1999,7.17948717948718,1521
151,0345444884,26,221,The Talisman,STEPHEN KING,Ballantine Books,http://images.amazon.com/images/P/0345444884.01.THUMBZZZ.jpg,2001,8.5,676
154,0374199698,26,215,Middlesex: A Novel,Jeffrey Eugenides,"Farrar, Straus and Giroux",http://images.amazon.com/images/P/0374199698.01.THUMBZZZ.jpg,2002,8.26923076923077,676
155,0374386137,6,49,A Wrinkle in Time,Madeleine L'Engle,Farrar Straus Giroux,http://images.amazon.com/images/P/0374386137.01.THUMBZZZ.jpg,1962,8.166666666666666,36
163,0375504397,28,226,Black House,Stephen King,Random House Trade,http://images.amazon.com/images/P/0375504397.01.THUMBZZZ.jpg,2001,8.071428571428571,784
167,0375706771,64,507,Midwives: A Novel,Chris Bohjalian,Vintage,http://images.amazon.com/images/P/0375706771.01.THUMBZZZ.jpg,1998,7.921875,4096
168,0375707972,51,380,The Reader,Bernhard Schlink,Vintage Books USA,http://images.amazon.com/images/P/0375707972.01.THUMBZZZ.jpg,1999,7.450980392156863,2601
169,0375726403,49,379,Empire Falls,Richard Russo,Vintage Books USA,http://images.amazon.com/images/P/0375726403.01.THUMBZZZ.jpg,2002,7.73469387755102,2401
170,0375727345,73,555,House of Sand and Fog,Andre Dubus III,Vintage Books,http://images.amazon.com/images/P/0375727345.01.THUMBZZZ.jpg,2000,7.602739726027397,5329
173,037582345X,6,58,"The Golden Compass (His Dark Materials, Book 1)",PHILIP PULLMAN,Knopf Books for Young Readers,http://images.amazon.com/images/P/037582345X.01.THUMBZZZ.jpg,2002,9.666666666666666,36
175,0380002930,50,433,Watership Down,Richard Adams,Avon,http://images.amazon.com/images/P/0380002930.01.THUMBZZZ.jpg,1976,8.66,2500
176,038039586X,6,49,Watership Down,Richard George Adams,Harpercollins,http://images.amazon.com/images/P/038039586X.01.THUMBZZZ.jpg,1975,8.166666666666666,36
177,0380718340,43,360,Cruel &amp; Unusual (Kay Scarpetta Mysteries (Paperback)),Patricia D. Cornwell,Avon,http://images.amazon.com/images/P/0380718340.01.THUMBZZZ.jpg,1994,8.372093023255815,1849
178,0380731851,32,244,Mystic River,Dennis Lehane,HarperTorch,http://images.amazon.com/images/P/0380731851.01.THUMBZZZ.jpg,2002,7.625,1024
179,0380789019,42,348,Neverwhere,Neil Gaiman,Avon,http://images.amazon.com/images/P/0380789019.01.THUMBZZZ.jpg,1998,8.285714285714286,1764
180,0380789035,51,414,American Gods,Neil Gaiman,HarperTorch,http://images.amazon.com/images/P/0380789035.01.THUMBZZZ.jpg,2002,8.117647058823529,2601
181,038079487X,42,323,What Looks Like Crazy On An Ordinary Day,Pearl Cleage,Perennial,http://images.amazon.com/images/P/038079487X.01.THUMBZZZ.jpg,1998,7.690476190476191,1764
182,0380807343,13,108,Coraline,Neil Gaiman,HarperTrophy,http://images.amazon.com/images/P/0380807343.01.THUMBZZZ.jpg,2003,8.307692307692308,169
184,0380977788,37,305,Coraline,Neil Gaiman,HarperCollins,http://images.amazon.com/images/P/0380977788.01.THUMBZZZ.jpg,2002,8.243243243243244,1369
186,0385182449,10,86,Pet Sematary,Stephen King,Doubleday Books,http://images.amazon.com/images/P/0385182449.01.THUMBZZZ.jpg,1993,8.6,100
187,0385265700,42,307,The Book of Ruth (Oprah's Book Club (Paperback)),Jane Hamilton,Anchor,http://images.amazon.com/images/P/0385265700.01.THUMBZZZ.jpg,1990,7.309523809523809,1764
188,038529929X,23,181,Hannibal,Thomas Harris,Del Sol Press,http://images.amazon.com/images/P/038529929X.01.THUMBZZZ.jpg,1999,7.869565217391305,529
189,0385302304,7,63,Outlander,DIANA GABALDON,Delacorte Press,http://images.amazon.com/images/P/0385302304.01.THUMBZZZ.jpg,1991,9.0,49
190,0385315236,13,99,The Horse Whisperer,Nicholas Evans,Delacorte Press,http://images.amazon.com/images/P/0385315236.01.THUMBZZZ.jpg,1995,7.615384615384615,169
193,0385324057,8,61,Summer Sisters,Judy Blume,Delacorte Press,http://images.amazon.com/images/P/0385324057.01.THUMBZZZ.jpg,1998,7.625,64
194,0385335482,60,465,Confessions of a Shopaholic (Summer Display Opportunity),SOPHIE KINSELLA,Delta,http://images.amazon.com/images/P/0385335482.01.THUMBZZZ.jpg,2001,7.75,3600
195,0385335881,43,350,Shopaholic Takes Manhattan (Summer Display Opportunity),Sophie Kinsella,Delta,http://images.amazon.com/images/P/0385335881.01.THUMBZZZ.jpg,2002,8.13953488372093,1849
198,0385416342,7,57,The Firm,John Grisham,Doubleday Books,http://images.amazon.com/images/P/0385416342.01.THUMBZZZ.jpg,1991,8.142857142857142,49
199,0385421982,10,89,The Pelican Brief,JOHN GRISHAM,Doubleday,http://images.amazon.com/images/P/0385421982.01.THUMBZZZ.jpg,1992,8.9,100
200,038542471X,15,118,The Client,John Grisham,Doubleday Books,http://images.amazon.com/images/P/038542471X.01.THUMBZZZ.jpg,1993,7.866666666666666,225
201,0385424728,27,202,The Chamber,John Grisham,Doubleday Books,http://images.amazon.com/images/P/0385424728.01.THUMBZZZ.jpg,1994,7.481481481481482,729
202,0385424736,26,202,The Rainmaker,John Grisham,Doubleday Books,http://images.amazon.com/images/P/0385424736.01.THUMBZZZ.jpg,1995,7.769230769230769,676
204,0385470819,6,49,A Time to Kill,JOHN GRISHAM,Doubleday,http://images.amazon.com/images/P/0385470819.01.THUMBZZZ.jpg,1993,8.166666666666666,36
205,0385472943,16,127,The Runaway Jury,JOHN GRISHAM,Doubleday,http://images.amazon.com/images/P/0385472943.01.THUMBZZZ.jpg,1996,7.9375,256
206,0385472951,26,199,The Partner,John Grisham,Doubleday Books,http://images.amazon.com/images/P/0385472951.01.THUMBZZZ.jpg,1997,7.653846153846154,676
207,0385484518,75,660,"Tuesdays with Morrie: An Old Man, a Young Man, and Life's Greatest Lesson",MITCH ALBOM,Doubleday,http://images.amazon.com/images/P/0385484518.01.THUMBZZZ.jpg,1997,8.8,5625
208,0385490992,24,172,The Street Lawyer,John Grisham,Doubleday Books,http://images.amazon.com/images/P/0385490992.01.THUMBZZZ.jpg,1998,7.166666666666667,576
209,0385492081,42,360,Into Thin Air : A Personal Account of the Mt. Everest Disaster,JON KRAKAUER,Anchor,http://images.amazon.com/images/P/0385492081.01.THUMBZZZ.jpg,1998,8.571428571428571,1764
210,0385493800,24,173,The Testament,John Grisham,Doubleday Books,http://images.amazon.com/images/P/0385493800.01.THUMBZZZ.jpg,1999,7.208333333333333,576
212,0385497466,21,155,The Brethren,JOHN GRISHAM,Doubleday,http://images.amazon.com/images/P/0385497466.01.THUMBZZZ.jpg,2000,7.380952380952381,441
214,038550120X,30,241,A Painted House,JOHN GRISHAM,Doubleday,http://images.amazon.com/images/P/038550120X.01.THUMBZZZ.jpg,2001,8.033333333333333,900
215,0385503822,24,182,The Summons,John Grisham,Doubleday Books,http://images.amazon.com/images/P/0385503822.01.THUMBZZZ.jpg,2002,7.583333333333333,576
216,0385504209,149,1282,The Da Vinci Code,Dan Brown,Doubleday,http://images.amazon.com/images/P/0385504209.01.THUMBZZZ.jpg,2003,8.604026845637584,22201
217,0385505833,48,363,Skipping Christmas,JOHN GRISHAM,Doubleday,http://images.amazon.com/images/P/0385505833.01.THUMBZZZ.jpg,2001,7.5625,2304
218,0385508042,23,174,The King of Torts,John Grisham,Doubleday Books,http://images.amazon.com/images/P/0385508042.01.THUMBZZZ.jpg,2003,7.565217391304348,529
219,0385508417,13,102,Skipping Christmas,JOHN GRISHAM,Doubleday,http://images.amazon.com/images/P/0385508417.01.THUMBZZZ.jpg,2002,7.846153846153846,169
220,0385720106,39,277,A Map of the World,Jane Hamilton,Anchor Books/Doubleday,http://images.amazon.com/images/P/0385720106.01.THUMBZZZ.jpg,1999,7.102564102564102,1521
221,0385722206,57,456,Balzac and the Little Chinese Seamstress : A Novel,DAI SIJIE,Anchor,http://images.amazon.com/images/P/0385722206.01.THUMBZZZ.jpg,2002,8.0,3249
222,0393046974,9,71,House of Sand and Fog,Andre Dubus III,W.W. Norton &amp; Company,http://images.amazon.com/images/P/0393046974.01.THUMBZZZ.jpg,1999,7.888888888888889,81
226,0394587863,10,85,The Witching Hour (Lives of the Mayfair Witches),ANNE RICE,Knopf,http://images.amazon.com/images/P/0394587863.01.THUMBZZZ.jpg,1990,8.5,100
231,0395353009,6,52,The Prince of Tides,Pat Conroy,Houghton Mifflin Company,http://images.amazon.com/images/P/0395353009.01.THUMBZZZ.jpg,1986,8.666666666666666,36
239,039913039X,8,64,Skeleton Crew,Stephen King,Putnam Pub Group,http://images.amazon.com/images/P/039913039X.01.THUMBZZZ.jpg,1985,8.0,64
240,0399133143,14,92,The Tommyknockers,Stephen King,Putnam Pub Group,http://images.amazon.com/images/P/0399133143.01.THUMBZZZ.jpg,1987,6.571428571428571,196
241,0399135782,7,63,The Kitchen God's Wife,Amy Tan,Putnam Pub Group,http://images.amazon.com/images/P/0399135782.01.THUMBZZZ.jpg,1991,9.0,49
242,0399141146,15,122,The Hundred Secret Senses,Amy Tan,Putnam Pub Group,http://images.amazon.com/images/P/0399141146.01.THUMBZZZ.jpg,1995,8.133333333333333,225
243,0399142851,11,85,Unnatural Exposure,Patricia Daniels Cornwell,Putnam Pub Group,http://images.amazon.com/images/P/0399142851.01.THUMBZZZ.jpg,1997,7.7272727272727275,121
244,0399143947,14,117,Point of Origin,Patricia Daniels Cornwell,Putnam Pub Group,http://images.amazon.com/images/P/0399143947.01.THUMBZZZ.jpg,1998,8.357142857142858,196
